;;Erledigt in Paris und London;A Dog Year: Twelve Months, Four Dogs, and Me;Verbrechen;Das Einmaleins der Achtsamkeit;Stadthunde.;Der flexible Mensch;Das Leiden anderer betrachten;Wölfisch für Hundehalter;Mantrailing;Die Umarmung;Tiere;Die Hauptsachen;Unendlicher Spaß: Roman;Die Rolle der Sprache in G. Orwells "1984" und A. Burgess "Clockwork Orange";Der Fall Collini;Schuld
Bücherwelt GmbH;1;-;-;-;-;-;-;-;-;Mantrailing;-;-;-;-;-;-;-;26.93
georghebel;2;-;-;-;-;-;-;-;-;-;Die Umarmung;-;-;-;-;Der Fall Collini;-;25.68
Buchheimlichkeiten;1;-;-;-;-;-;-;Das Leiden anderer betrachten;-;-;-;-;-;-;-;-;-;7.7
Moroha;1;-;-;-;-;-;Der flexible Mensch;-;-;-;-;-;-;-;-;-;-;2.9
buchZ AG;6;-;-;Verbrechen;-;-;-;Das Leiden anderer betrachten;-;Mantrailing;Die Umarmung;-;-;Unendlicher Spaß: Roman;-;Der Fall Collini;-;126.64
Buch und Papier;1;-;-;-;-;-;Der flexible Mensch;-;-;-;-;-;-;-;-;-;-;4
Buchrausch;1;-;-;-;-;Stadthunde.;-;-;-;-;-;-;-;-;-;-;-;0.95
schlemmerzunge;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Der Fall Collini;-;12
ps.buch;1;Erledigt in Paris und London;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3.95
Der Bücher-Bär;1;-;-;-;-;-;-;-;-;-;-;-;Die Hauptsachen;-;-;-;-;99.7
runrig;2;-;-;Verbrechen;-;-;-;-;-;-;-;Tiere;-;-;-;-;-;8.78
buecher.de GmbH & Co. KG;15;Erledigt in Paris und London;A Dog Year: Twelve Months, Four Dogs, and Me;Verbrechen;Das Einmaleins der Achtsamkeit;-;Der flexible Mensch;Das Leiden anderer betrachten;Wölfisch für Hundehalter;Mantrailing;Die Umarmung;Tiere;Die Hauptsachen;Unendlicher Spaß: Roman;Die Rolle der Sprache in G. Orwells "1984" und A. Burgess "Clockwork Orange";Der Fall Collini;Schuld;248.16
cleue;1;Erledigt in Paris und London;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3.23
bücherfee75;1;-;-;-;-;-;-;Das Leiden anderer betrachten;-;-;-;-;-;-;-;-;-;7.5
wasseralm;1;Erledigt in Paris und London;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1.6
Bücherinsel;3;-;-;-;-;-;-;-;Wölfisch für Hundehalter;Mantrailing;-;-;-;Unendlicher Spaß: Roman;-;-;-;86.85
baargeldt;1;Erledigt in Paris und London;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3.7
Bücherstübchen;1;-;-;-;-;Stadthunde.;-;-;-;-;-;-;-;-;-;-;-;1.9
Lesemäusle;1;-;-;-;-;-;-;-;-;-;-;Tiere;-;-;-;-;-;2.9
Jens.79;1;-;-;-;-;Stadthunde.;-;-;-;-;-;-;-;-;-;-;-;1.8
BuchDino;1;-;-;-;Das Einmaleins der Achtsamkeit;-;-;-;-;-;-;-;-;-;-;-;-;3
mäuseschreck;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Der Fall Collini;-;10.9
Sparbuecher;1;-;-;-;-;-;-;-;-;-;-;-;Die Hauptsachen;-;-;-;-;3.49
Annelu34;1;-;-;-;-;-;-;-;Wölfisch für Hundehalter;-;-;-;-;-;-;-;-;18.1
IvonneKaden;1;-;-;-;-;-;-;-;-;-;-;Tiere;-;-;-;-;-;3
Kleinefenn;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Schuld;8
bloody*wednesday;1;Erledigt in Paris und London;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3.5
stoaterg;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Schuld;7
montykater;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Der Fall Collini;-;11.5
INKIN;1;-;-;-;Das Einmaleins der Achtsamkeit;-;-;-;-;-;-;-;-;-;-;-;-;4
baumig;1;-;-;Verbrechen;-;-;-;-;-;-;-;-;-;-;-;-;-;4.15
Buchkönig UG (haftungsbeschränkt);2;-;A Dog Year: Twelve Months, Four Dogs, and Me;-;-;-;-;Das Leiden anderer betrachten;-;-;-;-;-;-;-;-;-;28.85
hans9;1;-;-;-;Das Einmaleins der Achtsamkeit;-;-;-;-;-;-;-;-;-;-;-;-;4.9
rko;1;-;-;-;-;-;Der flexible Mensch;-;-;-;-;-;-;-;-;-;-;4
grullu1;1;-;-;-;-;-;-;-;-;-;-;Tiere;-;-;-;-;-;3.19
Buchhandlung Kühn GmbH;11;Erledigt in Paris und London;-;Verbrechen;-;-;-;Das Leiden anderer betrachten;Wölfisch für Hundehalter;Mantrailing;Die Umarmung;Tiere;Die Hauptsachen;Unendlicher Spaß: Roman;-;Der Fall Collini;Schuld;185.37
Antiquariat Hübner;1;-;-;-;-;-;-;Das Leiden anderer betrachten;-;-;-;-;-;-;-;-;-;100
gregorgille;1;-;-;-;-;-;-;Das Leiden anderer betrachten;-;-;-;-;-;-;-;-;-;9.6
Rekloff;1;-;-;-;-;-;-;-;-;-;-;-;Die Hauptsachen;-;-;-;-;2.99
mondarina;1;-;-;-;-;-;-;-;-;-;-;-;Die Hauptsachen;-;-;-;-;3.8
Bücherdienst Psychosozial;1;-;-;-;-;-;Der flexible Mensch;-;-;-;-;-;-;-;-;-;-;3.99
TristanundIsolde;1;-;-;-;-;-;-;Das Leiden anderer betrachten;-;-;-;-;-;-;-;-;-;8.9
robo-buch;2;-;-;-;-;-;-;-;-;Mantrailing;-;-;-;-;-;-;Schuld;34.64
ellse;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Der Fall Collini;-;12
renabuch.de;1;-;-;-;Das Einmaleins der Achtsamkeit;-;-;-;-;-;-;-;-;-;-;-;-;4.95
werner link;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Der Fall Collini;-;7
Steinberger Hof;4;-;-;-;-;-;-;-;Wölfisch für Hundehalter;Mantrailing;-;-;-;-;-;Der Fall Collini;Schuld;66.99
gerd_b;1;-;-;Verbrechen;-;-;-;-;-;-;-;-;-;-;-;-;-;4.5
